[FABRIC:MT] Fabric Engine version 2.0.0
[FABRIC:MT] Loading DFG presets from e:\pablo\stage\Windows\x86_64\Release\Presets\DFG
[FABRIC:MT] Loading DFG presets from c:\Users\helge\Fabric\Presets
[FABRIC:MT] Loading DFG presets from e:\exts\Midi\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\RazerHydra\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\Xbox\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\LeapMotion\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\Oculus\stage\Presets\DFG
[FABRIC:MT] Registered extensions {Alembic:1.0.0,AlembicWrapper:1.2.0,Animation:1.1.0,Bullet:1.0.1,BulletHelpers:1.0.0,Characters:1.1.0,Containers:1.1.0,DFGHelpers,FabricInterfaces:1.0.1,FabricSynchronization:1.1.0,Fbx:1.1.0,FbxHelpers:1.0.2,FileIO:1.2.0,Geometry:1.2.0,Images:1.0.2,InlineDrawing:1.2.0,JSON:1.0.0,Manipulation:1.1.0,Math:1.2.0,FabricOBJ:1.1.0,FabricOGL:1.0.0,OpenImageIO:1.0.2,OSOGL:1.1.0,Parameters:1.0.0,Singletons:1.1.0,FabricStatistics:1.1.0,Util:1.1.0,ImageProcessing,RTR,RTRAdaptors} in directory: e:\pablo\stage\Windows\x86_64\Release\Exts
[FABRIC:MT] Registered extensions {BadCode:2.0.0,BadInline:2.0.0,BadPrototype:2.0.0,BadVersion:2.0.0,CircularA:2.0.0,CircularB:2.0.0,FwdDeclare:2.0.0,FwdDeclNoDef:2.0.0,SetupCallback:2.0.0,UnitTest:2.0.0,VersionTest:1.0.0,VersionTest:1.1.1,VersionTest:1.2.1} in directory: e:\pablo\stage\Windows\x86_64\Release\Tests\Core\Exts
[FABRIC:MT] Ignored extension directory 'e:\pablo\stage\Windows\x86_64\Release\Tests\Exts': unable to open directory 'e:\pablo\stage\Windows\x86_64\Release\Tests\Exts': The system cannot find the path specified. (code 3 [0x3])
[FABRIC:MT] Registered extension {Midi:1.0.0} in directory: e:\exts\Midi\stage\Exts
[FABRIC:MT] Registered extension {RazerHydra:1.0.0} in directory: e:\exts\RazerHydra\stage\Exts
[FABRIC:MT] Registered extension {XBox:1.0.0} in directory: e:\exts\Xbox\stage\Exts
[FABRIC:MT] Registered extension {LeapMotion:1.0.0} in directory: e:\exts\LeapMotion\stage\Exts
[FABRIC:MT] Registered extension {Oculus:1.0.0} in directory: e:\exts\Oculus\stage\Exts
[FABRIC:MT] Ignored extension {LeapMotion:1.0.0} in directory: stage\Exts
[FABRIC:MT] IRCache: Not pruning since last prune was less than 24 hours ago
[FABRIC:MT] Loaded extension Math in 138.521ms (cached)
[FABRIC:MT] Loaded extension LeapMotion in 91.446ms (cached)
Registered function 'LeapConfig.getBool', 'getBool'.
Registered function 'LeapHand.fingerTipXfos', 'fingerTipXfos'.
Registered function 'LeapHand.fingers', 'fingers'.
Registered function 'LeapHand.grabStrength', 'grabStrength'.
Registered function 'LeapHand.id', 'id'.
Registered function 'LeapHand.isLeft', 'isLeft'.
Registered function 'LeapHand.isRight', 'isRight'.
Registered function 'LeapHand.palmNormal', 'palmNormal'.
Registered function 'LeapHand.palmPosition', 'palmPosition'.
Registered function 'LeapHand.palmVelocity', 'palmVelocity'.
Registered function 'LeapHand.palmWidth', 'palmWidth'.
Registered function 'LeapHand.pinchStrength', 'pinchStrength'.
Registered function 'LeapHand.pointable', 'pointable'.
Registered function 'LeapHand.pointableByIndex', 'pointableByIndex'.
Registered function 'LeapHand.pointableXfos', 'pointableXfos'.
Registered function 'LeapHand.pointables', 'pointables'.
Registered function 'LeapHand.rotationAngle', 'rotationAngle'.
Skipped 'function Float32 LeapHand.rotationAngle?( in LeapFrame sinceFrame )', double declaration, found overload with more parameters.
Registered function 'LeapHand.rotationAxis', 'rotationAxis'.
Registered function 'LeapHand.rotationMatrix', 'rotationMatrix'.
Registered function 'LeapHand.rotationProbability', 'rotationProbability'.
Registered function 'LeapHand.scaleFactor', 'scaleFactor'.
Registered function 'LeapHand.scaleProbability', 'scaleProbability'.
Registered function 'LeapHand.sphereCenter', 'sphereCenter'.
Registered function 'LeapHand.sphereRadius', 'sphereRadius'.
Registered function 'LeapHand.stabilizedPalmPosition', 'stabilizedPalmPosition'.
Registered function 'LeapHand.timeVisible', 'timeVisible'.
Registered function 'LeapHand.tool', 'tool'.
Registered function 'LeapHand.tools', 'tools'.
Registered function 'LeapHand.translation', 'translation'.
Registered function 'LeapHand.translationProbability', 'translationProbability'.
Registered function 'LeapHand.valid', 'valid'.
Registered function 'LeapHand.wristPosition', 'wristPosition'.
Registered function 'LeapGesture.duration', 'duration'.
Registered function 'LeapGesture.durationSeconds', 'durationSeconds'.
Registered function 'LeapGesture.gestureType', 'gestureType'.
Registered function 'LeapGesture.handByIndex', 'handByIndex'.
Registered function 'LeapGesture.hands', 'hands'.
Registered function 'LeapGesture.id', 'id'.
Registered function 'LeapGesture.pointableByIndex', 'pointableByIndex'.
Registered function 'LeapGesture.pointableXfos', 'pointableXfos'.
Registered function 'LeapGesture.pointables', 'pointables'.
Registered function 'LeapGesture.state', 'state'.
Registered function 'LeapGesture.valid', 'valid'.
Registered function 'LeapImage.valid', 'valid'.
Registered function 'LeapFrame.currentFramesPerSecond', 'currentFramesPerSecond'.
Registered function 'LeapFrame.deserialize', 'deserialize'.
Registered function 'LeapFrame.finger', 'finger'.
Registered function 'LeapFrame.fingerAllXfos', 'fingerAllXfos'.
Registered function 'LeapFrame.fingerByIndex', 'fingerByIndex'.
Registered function 'LeapFrame.fingerTipXfos', 'fingerTipXfos'.
Registered function 'LeapFrame.fingers', 'fingers'.
Registered function 'LeapFrame.gesture', 'gesture'.
Registered function 'LeapFrame.gestureByIndex', 'gestureByIndex'.
Registered function 'LeapFrame.gestures', 'gestures'.
Skipped 'function LeapGesture[] LeapFrame.gestures?()', double declaration, found overload with more parameters.
Registered function 'LeapFrame.hand', 'hand'.
Registered function 'LeapFrame.handByIndex', 'handByIndex'.
Registered function 'LeapFrame.hands', 'hands'.
Registered function 'LeapFrame.id', 'id'.
Registered function 'LeapFrame.imageByIndex', 'imageByIndex'.
Registered function 'LeapFrame.images', 'images'.
Registered function 'LeapFrame.interactionBox', 'interactionBox'.
Registered function 'LeapFrame.isValid', 'isValid'.
Registered function 'LeapFrame.pointable', 'pointable'.
Registered function 'LeapFrame.pointableByIndex', 'pointableByIndex'.
Registered function 'LeapFrame.pointableXfos', 'pointableXfos'.
Registered function 'LeapFrame.pointables', 'pointables'.
Registered function 'LeapFrame.rotationAngle', 'rotationAngle'.
Skipped 'function Float32 LeapFrame.rotationAngle?( in LeapFrame sinceFrame )', double declaration, found overload with more parameters.
Registered function 'LeapFrame.rotationAxis', 'rotationAxis'.
Registered function 'LeapFrame.rotationMatrix', 'rotationMatrix'.
Registered function 'LeapFrame.rotationProbability', 'rotationProbability'.
Registered function 'LeapFrame.scaleFactor', 'scaleFactor'.
Registered function 'LeapFrame.scaleProbability', 'scaleProbability'.
Registered function 'LeapFrame.serialize', 'serialize'.
Registered function 'LeapFrame.timestamp', 'timestamp'.
Registered function 'LeapFrame.tool', 'tool'.
Registered function 'LeapFrame.toolByIndex', 'toolByIndex'.
Registered function 'LeapFrame.tools', 'tools'.
Registered function 'LeapFrame.translation', 'translation'.
Registered function 'LeapFrame.translationProbability', 'translationProbability'.
Registered function 'LeapFrame.valid', 'valid'.
Registered function 'LeapDevice.deviceType', 'deviceType'.
Registered function 'LeapDevice.distanceToBoundary', 'distanceToBoundary'.
Registered function 'LeapDevice.horizontalViewAngle', 'horizontalViewAngle'.
Registered function 'LeapDevice.isEmbedded', 'isEmbedded'.
Registered function 'LeapDevice.isFlipped', 'isFlipped'.
Registered function 'LeapDevice.isStreaming', 'isStreaming'.
Registered function 'LeapDevice.range', 'range'.
Registered function 'LeapDevice.valid', 'valid'.
Registered function 'LeapDevice.verticalViewAngle', 'verticalViewAngle'.
Registered function 'LeapController.LeapController', 'LeapController.LeapController'.
Registered function 'LeapController.config', 'config'.
Registered function 'LeapController.devices', 'devices'.
Registered function 'LeapController.enableGesture', 'enableGesture'.
Registered function 'LeapController.frame', 'frame'.
Skipped 'function LeapFrame LeapController.frame?()', double declaration, found overload with more parameters.
Registered function 'LeapController.hasFocus', 'hasFocus'.
Registered function 'LeapController.isConnected', 'isConnected'.
Registered function 'LeapController.isGestureEnabled', 'isGestureEnabled'.
Registered function 'LeapController.isServiceConnected', 'isServiceConnected'.
Registered function 'LeapController.policyFlags', 'policyFlags'.
Registered function 'LeapController.setPolicyFlags', 'setPolicyFlags'.
Registered function 'LeapController.valid', 'valid'.
Skipped 'function Float32 LeapHand.rotationAngle?( in LeapFrame sinceFrame )', double declaration, found overload with more parameters.
Skipped 'function LeapGesture[] LeapFrame.gestures?()', double declaration, found overload with more parameters.
Skipped 'function Float32 LeapFrame.rotationAngle?( in LeapFrame sinceFrame )', double declaration, found overload with more parameters.
Skipped 'function LeapFrame LeapController.frame?()', double declaration, found overload with more parameters.
Skipping array preset for 'function Xfo[] LeapHand.fingerAllXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function Xfo[] LeapHand.fingerTipXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function LeapFinger[] LeapHand.fingers?()', has array return value.
Skipping array preset for 'function Xfo[] LeapHand.pointableXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function LeapPointable[] LeapHand.pointables?()', has array return value.
Skipping array preset for 'function LeapTool[] LeapHand.tools?()', has array return value.
Skipping array preset for 'function LeapHand[] LeapGesture.hands?()', has array return value.
Skipping array preset for 'function Xfo[] LeapGesture.pointableXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function LeapPointable[] LeapGesture.pointables?()', has array return value.
Skipping array preset for 'function Xfo[] LeapFrame.fingerAllXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function Xfo[] LeapFrame.fingerTipXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function LeapFinger[] LeapFrame.fingers?()', has array return value.
Skipping array preset for 'function LeapGesture[] LeapFrame.gestures?( in LeapFrame sinceFrame )', has array return value.
Skipping array preset for 'function LeapHand[] LeapFrame.hands?()', has array return value.
Skipping array preset for 'function LeapImage[] LeapFrame.images?()', has array return value.
Skipping array preset for 'function Xfo[] LeapFrame.pointableXfos?( in Float32 scaleFactor )', has array return value.
Skipping array preset for 'function LeapPointable[] LeapFrame.pointables?()', has array return value.
Skipping array preset for 'function LeapTool[] LeapFrame.tools?()', has array return value.
Skipping array preset for 'function LeapDevice[] LeapController.devices?()', has array return value.
